date_time,search_count,job_id,job_title,company,location,update_time,applicants,job_time,job_level,job_type,company_size,company_industry
16Jun2024-23:50:44,186,3883384532,Data Science,Infosys,"Bengaluru East, Karnataka, India",Reposted 3 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",IT Services and IT Consulting
16Jun2024-23:51:05,186,3926600927,Data Scientist,redBus,"Bengaluru, Karnataka, India",3 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"501-1,000 employees","Technology, Information and Internet"
16Jun2024-23:51:20,186,3939080059,Junior Data Scientist - Machine Learning/Artificial Intelligence,Aptus Data Labs,"Bengaluru, Karnataka, India",1 week ago,Over 100 applicants,,,On-site Full-time Entry level,51-200 employees,IT Services and IT Consulting
16Jun2024-23:51:36,186,3932090610,Data Scientist,myGwork - LGBTQ+ Business Community,"Bengaluru, Karnataka, India",3 weeks ago,Over 100 applicants,,,Full-time Entry level,11-50 employees,"Technology, Information and Internet"
16Jun2024-23:51:51,186,3936811768,Data Scientist,Organic Mandya,"Bengaluru, Karnataka, India",2 weeks ago,Over 100 applicants,,,On-site Full-time,201-500 employees,
16Jun2024-23:52:07,186,3906305504,Data Analyst,OpenCV University,"Bengaluru, Karnataka, India",Reposted 3 weeks ago,Over 100 applicants,,,On-site Full-time,11-50 employees,
16Jun2024-23:52:22,186,3936221014,Industrial Data Scientist,GE Vernova,"Bengaluru, Karnataka, India",2 weeks ago,Over 100 applicants,,,Full-time Entry level,"10,001+ employees",Electric Power Generation
16Jun2024-23:52:47,186,3938827048,Asst Exploration Geologist,GeoExpOre Pvt. Ltd.,"Bengaluru, Karnataka, India",1 week ago,Over 100 applicants,,,On-site Full-time,11-50 employees,
16Jun2024-23:53:03,186,3937873410,Data Analyst - Marketplace & Omni channel,Myntra,"Bengaluru, Karnataka, India",2 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"1,001-5,000 employees",Software Development
16Jun2024-23:53:18,186,3939033570,Associate Valmo - F&E,Meesho,"Bengaluru, Karnataka, India",1 week ago,Over 100 applicants,,,On-site Full-time Entry level,"1,001-5,000 employees","Technology, Information and Internet"
16Jun2024-23:53:39,186,3939075832,Machine Learning Engineer - Generative AI/NLP,Whitetable.ai,"Bengaluru, Karnataka, India",1 week ago,Over 100 applicants,,,On-site Full-time Entry level,1-10 employees,"Technology, Information and Internet"
16Jun2024-23:53:55,186,3938841557,Media Analyst,LTIMindtree,"Bengaluru, Karnataka, India",Reposted 1 week ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",IT Services and IT Consulting
16Jun2024-23:54:16,186,3941159606,Analyst,,,,,,,On-site Full-time Entry level,"1,001-5,000 employees",Financial Services
16Jun2024-23:54:31,186,3941413422,Data Management Engineer,Koch Industries,"Bengaluru, Karnataka, India",1 week ago,33 applicants,,,On-site Full-time Entry level,"10,001+ employees",Oil and Gas
16Jun2024-23:54:55,186,3920854450,Data Engineer,Koch Industries,"Bengaluru, Karnataka, India",Reposted 2 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",Oil and Gas
16Jun2024-23:55:16,186,3937831232,Data Analyst 2,myGwork - LGBTQ+ Business Community,"Bengaluru, Karnataka, India",2 weeks ago,Over 100 applicants,,,Full-time Entry level,11-50 employees,"Technology, Information and Internet"
16Jun2024-23:55:32,186,3938839959,Media Analyst,LTIMindtree,"Bengaluru, Karnataka, India",Reposted 1 week ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",IT Services and IT Consulting
16Jun2024-23:55:47,186,3931390100,Data Analyst,UST,"Bengaluru, Karnataka, India",Reposted 4 days ago,Over 100 applicants,,,Full-time Entry level,"10,001+ employees",IT Services and IT Consulting
16Jun2024-23:56:03,186,3940405069,Data Engineer - Target India,Target,"Bengaluru, Karnataka, India",2 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",Retail
16Jun2024-23:56:18,186,3887723749,Senior Business Analyst - Data Science,Trinity Life Sciences,"Bengaluru, Karnataka, India",Reposted 3 weeks ago,Over 100 applicants,,,Full-time Entry level,"501-1,000 employees",Business Consulting and Services
16Jun2024-23:56:39,186,3937207450,Data Engineer,,,,,,,On-site Full-time Entry level,"5,001-10,000 employees",Translation and Localization
16Jun2024-23:57:03,186,3923633896,Data Engineer I,myGwork - LGBTQ+ Business Community,"Bengaluru, Karnataka, India",4 weeks ago,Over 100 applicants,,,Full-time Entry level,11-50 employees,"Technology, Information and Internet"
16Jun2024-23:57:19,186,3920856202,Data Engineer,Koch Industries,"Bengaluru, Karnataka, India",Reposted 2 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",Oil and Gas
16Jun2024-23:57:49,186,3938240483,Data Engineer,,,,,,,On-site Full-time Entry level,See how you compare to 26 applicants. Try Premium for ₹0,
16Jun2024-23:58:20,186,3938237952,Data Engineer,,,,,,,On-site Full-time Entry level,See how you compare to 11 applicants. Try Premium for ₹0,
