date_time,search_count,job_id,job_title,company,location,update_time,applicants,job_time,job_level,job_type,company_size,company_industry,job_details
17Jun2024-13:36:21,184,3941159606,Analyst,slice,"Bengaluru, Karnataka, India",1 week ago,Over 100 applicants,,,On-site Full-time Entry level,"1,001-5,000 employees",Financial Services,"Analytical Skills, Communication, Data Analytics, Data Visualization, Microsoft Excel, Problem Solving, Python (Programming Language), SQL, Teamwork, and VBA Excel"
17Jun2024-13:36:42,184,3883384532,Data Science,Infosys,"Bengaluru East, Karnataka, India",Reposted 3 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",IT Services and IT Consulting,"Analytics, Artificial Intelligence (AI), Data Analytics, Data Collection, Data Preparation, Data Science, Data Visualization, Machine Learning, R (Programming Language), and Statistics"
17Jun2024-13:37:02,184,3936811768,Data Scientist,Organic Mandya,"Bengaluru, Karnataka, India",2 weeks ago,Over 100 applicants,,,On-site Full-time,201-500 employees,,"Analytics, C++, Data Modeling, Java, Modeling, Predictive Modeling, Programming, Python (Programming Language), Quantitative Analytics, and SQL"
17Jun2024-13:37:22,184,3926600927,Data Scientist,redBus,"Bengaluru, Karnataka, India",3 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"501-1,000 employees","Technology, Information and Internet","Demand Forecasting, Operations Research, Pricing Strategy, and Supply Network Planning"
17Jun2024-13:37:43,184,3906305504,Data Analyst,OpenCV University,"Bengaluru, Karnataka, India",Reposted 3 weeks ago,Over 100 applicants,,,On-site Full-time,11-50 employees,,"Analytical Skills, Data Analysis, Data Analytics, Data Modeling, Data Visualization, Databases, Extract, Transform, Load (ETL), Problem Solving, Statistics, and Teamwork"
17Jun2024-13:38:03,184,3932090610,Data Scientist,myGwork - LGBTQ+ Business Community,"Bengaluru, Karnataka, India",3 weeks ago,Over 100 applicants,,,Full-time Entry level,11-50 employees,"Technology, Information and Internet","Analytics, Communication, Data Science, Mathematics, Natural Language Processing (NLP), Oral Communication, R (Programming Language), SAS (Software), Statistics, and Technical Requirements"
17Jun2024-13:38:24,184,3939418929,Machine Learning Engineer,MeetRecord,"Bengaluru, Karnataka, India",1 week ago,Over 100 applicants,,,On-site Full-time,11-50 employees,,"Algorithms, Computer Science, Computer Vision, Data Engineering, Deep Learning, Image Processing, Keras, Machine Learning Algorithms, Natural Language Processing (NLP), and TensorFlow"
17Jun2024-13:38:49,184,3914443057,Data Engineer,Koch Industries,"Bengaluru, Karnataka, India",Reposted 3 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",Oil and Gas,"Data Engineering, Data Science, Data Warehousing, Databases, and Extract, Transform, Load (ETL)"
17Jun2024-13:39:04,184,3937238217,Artificial Intelligence Engineer - LLM/ChatGPT,Binocs,"Bengaluru, Karnataka, India",2 weeks ago,Over 100 applicants,,,Full-time Entry level,51-200 employees,Software Development,"Artificial Intelligence (AI), ChatGPT, Computer Science, Microservices, Natural Language Processing (NLP), Pattern Recognition, Programming, Prompt Engineering, Reliability, and Serverless Computing"
17Jun2024-13:39:25,184,3877717032,Associate - Data Reporting and Analytics,,,,,,,Full-time Entry level,"10,001+ employees",Pharmaceutical Manufacturing,"Data Analytics, Database Management System (DBMS), Key Performance Indicators, Problem Solving, Qlik Sense, Snowflake, Snowflake Cloud, Veeva, Veeva CRM, and Visualization"
17Jun2024-13:39:41,184,3937723897,Torry Harris Business Solutions - AWS Data Engineer - Spark/Python,Torry Harris Integration Solutions,"Bengaluru, Karnataka, India",2 weeks ago,33 applicants,,,On-site Full-time Entry level,"1,001-5,000 employees",IT Services and IT Consulting,"Amazon Redshift, Apache Spark, Data Engineering, Data Modeling, Data Services, Data Warehousing, Detailed Design, Extract, Transform, Load (ETL), Hive, and Technical Requirements"
17Jun2024-13:39:56,184,3908293533,Data Engineer,Advarra,"Bengaluru, Karnataka, India",Reposted 3 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"501-1,000 employees",Pharmaceutical Manufacturing,"Communication, Data Architecture, Data Engineering, Data Modeling, Data Science, Extract, Transform, Load (ETL), Query Writing, Statistical Concepts, Stored Procedures, and Written Communication"
17Jun2024-13:40:12,184,3937250209,Associate - Buying & Merchandising,Myntra,"Bengaluru, Karnataka, India",2 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"1,001-5,000 employees",Software Development,"Communication, Interpersonal Skills, Merchandising, Microsoft Excel, Organization Skills, Problem Solving, and Written Communication"
17Jun2024-13:40:32,184,3921601060,Engineering Tools License Management Specialist,,,,,,,Full-time Entry level,"10,001+ employees",Motor Vehicle Manufacturing,"Communication, Dashboards, Data Engineering, Data-driven Decision Making, Driving Results, Identifying Trends, License Management, Negotiation, Problem Solving, and Software Licensing"
17Jun2024-13:40:57,184,3920852472,Data Engineer,Koch Industries,"Bengaluru, Karnataka, India",Reposted 2 weeks ago,Over 100 applicants,,,On-site Full-time Entry level,"10,001+ employees",Oil and Gas,"Data Engineering, Data Science, Data Warehousing, Databases, and Extract, Transform, Load (ETL)"
